title,rating,feature
The Wolf of Wall Street,8.2,base true story jordan belfort rise wealthy stockbroker live high life fall involve crime corruption federal government biography crime drama martin scorsese leonardo dicaprio jonah hill margot robbie matthew mcconaughey
Chak De! India,8.2,kabir khan coach indian woman national hockey team dream make girl team emerge victorious odds drama family sport shimit amin shah rukh khan vidya malvade sagarika ghatge shilpa shukla
There Will Be Blood,8.2,story family religion hatred oil madness focus turnofthecentury prospector early day business drama paul thomas anderson daniel day-lewis paul dano ciarán hinds martin stringer
Pan's Labyrinth,8.2,falangist spain 1944 bookish young stepdaughter sadistic army officer escape eerie captivate fantasy world drama fantasy war guillermo del toro ivana baquero ariadna gil sergi lópez maribel verdú
Toy Story 3,8.2,toy mistakenly deliver daycare center instead attic right andy leaf college woody convince toy abandon return home animation adventure comedy lee unkrich tom hanks tim allen joan cusack ned beatty
V for Vendetta,8.2,future british tyranny shadowy freedom fighter know alias v plot overthrow help young woman action drama science fiction james mcteigue hugo weaving natalie portman rupert graves stephen rea
Rang De Basanti,8.2,story six young indian assist english woman film documentary freedom fighter past event lead relive longforgotten saga freedom comedy crime drama rakeysh omprakash mehra aamir khan soha ali khan siddharth sharman joshi
Black,8.2,cathartic tale young woman see hear talk teacher bring ray light dark world drama sanjay leela bhansali amitabh bachchan rani mukerji shernaz patel ayesha kapoor
Batman Begins,8.2,train mentor batman begin fight free crimeridden gotham city corruption action adventure christopher nolan christian bale michael caine ken watanabe liam neeson
"Swades: We, the People",8.2,successful indian scientist return indian village take nanny america process rediscover root drama ashutosh gowariker shah rukh khan gayatri joshi kishori ballal smit sheth
Der Untergang,8.2,traudl junge final secretary adolf hitler tell nazi dictator final day berlin bunker end wwii biography drama history oliver hirschbiegel bruno ganz alexandra maria lara ulrich matthes juliane köhler
Hauru no ugoku shiro,8.2,unconfident young woman curse old body spiteful witch chance break spell lie selfindulgent yet insecure young wizard companion legged walk castle animation adventure family hayao miyazaki chieko baishô takuya kimura tatsuya gashûin akihiro miwa
A Beautiful Mind,8.2,john nash brilliant asocial mathematician accept secret work cryptography life take turn nightmarish biography drama ron howard russell crowe ed harris jennifer connelly christopher plummer
Hera Pheri,8.2,three unemployed men look answer money problem opportunity arrive know action comedy crime priyadarshan akshay kumar sunil shetty paresh rawal tabu
"Lock, Stock and Two Smoking Barrels",8.2,botched card game london trigger four friend thug weedgrowers hard gangster loan shark debt collector collide series unexpected event sake weed cash two antique shotgun action comedy crime guy ritchie jason flemyng dexter fletcher nick moran jason statham
L.A. Confidential,8.2,corruption grows 1950s los angeles three policeman one straitlaced one brutal one sleazy investigate series murder brand justice crime drama mystery curtis hanson kevin spacey russell crowe guy pearce kim basinger
Eskiya,8.2,baran bandit release prison 35 year search vengeance lover crime drama thriller yavuz turgul sener sen ugur yücel sermin hürmeriç yesim salkim
Heat,8.2,group professional bank robber start feel heat police unknowingly leave clue late heist crime drama thriller michael mann al pacino robert de niro val kilmer jon voight
Casino,8.2,tale greed deception money power murder occur two best friend mafia enforcer casino executive compete gambling empire fastliving fastloving socialite crime drama martin scorsese robert de niro sharon stone joe pesci james woods
Andaz Apna Apna,8.2,two slacker compete affection heiress inadvertently become protector evil criminal action comedy romance rajkumar santoshi aamir khan salman khan raveena tandon karisma kapoor
Unforgiven,8.2,retire old west gunslinger william munny reluctantly take one last job help old partner ned logan young man schofield kid drama western clint eastwood clint eastwood gene hackman morgan freeman richard harris
